Date;Service;Ligne;Nom de la ligne;Taux de ponctualité;Nombre de voyageurs à l'heure pour un voyageur en retard
2013-01;Transilien;P;Paris Est;85.8;6.0
2013-01;RER;D;RER D;77.6;3.5
2013-02;RER;B;RER B;80.3;4.1
2013-01;RER;E;RER E;93.3;13.9
2013-02;Transilien;H;Paris Nord Ouest;92.7;12.7
2013-01;Transilien;K;Paris Nord Crépy;75.2;3.0
2013-02;Transilien;N;Paris Montparnasse;93.3;13.9
2013-01;Transilien;L;Paris Saint-Lazare Sud;84.0;5.3
2013-02;Transilien;R;Paris Sud Est;88.2;7.5
2013-02;Transilien;L;Paris Saint-Lazare Sud;82.1;4.6
2013-03;RER;D;RER D;80.0;4.0
2013-03;RER;C;RER C;87.6;7.1
2013-03;RER;E;RER E;92.9;13.1
2013-03;Transilien;U;La Verrière - La Défense;89.2;8.3
2013-03;Transilien;J;Paris Saint-Lazare Nord;84.2;5.3
2013-04;RER;B;RER B;86.4;6.4
2013-03;Transilien;L;Paris Saint-Lazare Sud;81.8;4.5
2013-04;RER;D;RER D;82.9;4.8
2013-03;Transilien;N;Paris Montparnasse;89.1;8.2
2013-04;Transilien;L;Paris Saint-Lazare Sud;84.4;5.4
2013-04;Transilien;H;Paris Nord Ouest;94.6;17.5
2013-04;Transilien;N;Paris Montparnasse;90.2;9.2
2013-05;RER;A;RER A;86.4;6.4
2013-05;Transilien;P;Paris Est;90.4;9.4
2013-05;Transilien;K;Paris Nord Crépy;81.3;4.3
2013-06;RER;D;RER D;85.1;5.7
2013-01;RER;B;RER B;80.1;4.0
2013-05;Transilien;L;Paris Saint-Lazare Sud;90.6;9.6
2013-06;Transilien;J;Paris Saint-Lazare Nord;83.5;5.1
2013-02;RER;E;RER E;94.7;17.9
2013-05;Transilien;U;La Verrière - La Défense;95.3;20.3
2013-06;Transilien;L;Paris Saint-Lazare Sud;82.3;4.6
2013-02;Transilien;J;Paris Saint-Lazare Nord;88.1;7.4
2013-06;RER;B;RER B;82.2;4.6
2013-06;Transilien;P;Paris Est;89.4;8.4
2013-02;Transilien;K;Paris Nord Crépy;75.2;3.0
2013-06;Transilien;N;Paris Montparnasse;93.9;15.4
2013-07;RER;D;RER D;85.2;5.8
2013-03;Transilien;H;Paris Nord Ouest;92.3;12.0
2013-06;Transilien;R;Paris Sud Est;89.5;8.5
2013-07;Transilien;K;Paris Nord Crépy;85.1;5.7
2013-04;RER;A;RER A;83.3;5.0
2013-06;Transilien;U;La Verrière - La Défense;93.2;13.7
2013-07;Transilien;P;Paris Est;90.1;9.1
2013-04;Transilien;J;Paris Saint-Lazare Nord;85.0;5.7
2013-08;RER;D;RER D;90.4;9.4
2013-08;RER;A;RER A;88.9;8.0
2013-04;Transilien;K;Paris Nord Crépy;82.0;4.6
2013-08;Transilien;L;Paris Saint-Lazare Sud;89.9;8.9
2013-09;Transilien;K;Paris Nord Crépy;86.0;6.1
2013-04;Transilien;R;Paris Sud Est;89.3;8.3
2013-08;Transilien;R;Paris Sud Est;92.0;11.5
2013-09;Transilien;L;Paris Saint-Lazare Sud;84.9;5.6
2013-04;Transilien;U;La Verrière - La Défense;90.1;9.1
2013-09;RER;D;RER D;83.1;4.9
2013-09;Transilien;P;Paris Est;88.0;7.3
2013-05;Transilien;J;Paris Saint-Lazare Nord;91.5;10.8
2013-09;RER;E;RER E;96.8;30.3
2013-10;RER;B;RER B;80.7;4.2
2013-06;RER;E;RER E;93.9;15.4
2013-09;Transilien;H;Paris Nord Ouest;95.4;20.7
2013-10;RER;D;RER D;79.6;3.9
2013-06;Transilien;H;Paris Nord Ouest;94.1;15.9
2013-09;Transilien;J;Paris Saint-Lazare Nord;88.8;7.9
2013-10;Transilien;H;Paris Nord Ouest;94.2;16.2
2013-07;RER;B;RER B;84.1;5.3
2013-09;Transilien;R;Paris Sud Est;89.6;8.6
2013-10;Transilien;L;Paris Saint-Lazare Sud;82.0;4.6
2013-07;Transilien;J;Paris Saint-Lazare Nord;87.0;6.7
2013-10;RER;A;RER A;83.1;4.9
2013-10;Transilien;N;Paris Montparnasse;92.6;12.5
2013-07;Transilien;N;Paris Montparnasse;93.2;13.7
2013-10;Transilien;R;Paris Sud Est;89.4;8.4
2013-11;Transilien;U;La Verrière - La Défense;88.4;7.6
2013-08;RER;C;RER C;93.4;14.2
2013-11;RER;D;RER D;76.9;3.3
2013-12;RER;A;RER A;81.2;4.3
2013-08;Transilien;J;Paris Saint-Lazare Nord;89.2;8.3
2013-12;Transilien;H;Paris Nord Ouest;94.7;17.9
2013-12;Transilien;J;Paris Saint-Lazare Nord;84.4;5.4
2013-09;RER;A;RER A;83.3;5.0
2014-01;Transilien;P;Paris Est;91.0;10.1
2013-12;Transilien;N;Paris Montparnasse;92.8;12.9
2013-10;RER;C;RER C;85.6;5.9
2014-02;RER;B;RER B;88.9;8.0
2014-01;RER;A;RER A;81.1;4.3
2013-10;Transilien;J;Paris Saint-Lazare Nord;83.2;5.0
2014-02;Transilien;K;Paris Nord Crépy;84.4;5.4
2014-01;RER;B;RER B;81.3;4.3
2013-10;Transilien;U;La Verrière - La Défense;91.6;10.9
2014-02;Transilien;L;Paris Saint-Lazare Sud;83.1;4.9
2014-01;RER;D;RER D;86.0;6.1
2013-11;RER;C;RER C;85.5;5.9
2014-03;RER;A;RER A;83.3;5.0
2014-01;Transilien;J;Paris Saint-Lazare Nord;82.0;4.6
2013-11;RER;E;RER E;92.0;11.5
2014-03;RER;B;RER B;87.9;7.3
2014-02;Transilien;H;Paris Nord Ouest;96.1;24.6
2013-11;Transilien;J;Paris Saint-Lazare Nord;80.7;4.2
2014-03;RER;C;RER C;91.5;10.8
2014-02;Transilien;P;Paris Est;90.4;9.4
2013-11;Transilien;N;Paris Montparnasse;88.1;7.4
2014-03;Transilien;L;Paris Saint-Lazare Sud;88.2;7.5
2014-02;Transilien;R;Paris Sud Est;85.3;5.8
2013-11;Transilien;R;Paris Sud Est;82.5;4.7
2014-04;RER;C;RER C;91.6;10.9
2014-02;Transilien;U;La Verrière - La Défense;92.2;11.8
2013-12;RER;B;RER B;82.4;4.7
2014-05;RER;C;RER C;91.7;11.0
2014-03;Transilien;H;Paris Nord Ouest;96.4;26.8
2013-12;RER;E;RER E;94.9;18.6
2014-05;Transilien;P;Paris Est;92.7;12.7
2014-03;Transilien;R;Paris Sud Est;91.5;10.8
2013-12;Transilien;K;Paris Nord Crépy;83.1;4.9
2014-05;Transilien;R;Paris Sud Est;89.7;8.7
2014-03;Transilien;U;La Verrière - La Défense;94.0;15.7
2013-12;Transilien;R;Paris Sud Est;90.2;9.2
2014-06;RER;A;RER A;72.6;2.6
2014-04;RER;B;RER B;88.5;7.7
2013-12;Transilien;U;La Verrière - La Défense;90.6;9.6
2014-06;Transilien;J;Paris Saint-Lazare Nord;84.9;5.6
2014-04;Transilien;K;Paris Nord Crépy;87.0;6.7
2014-01;Transilien;H;Paris Nord Ouest;95.9;23.4
2014-06;Transilien;L;Paris Saint-Lazare Sud;84.0;5.3
2014-04;Transilien;P;Paris Est;87.9;7.3
2014-01;Transilien;K;Paris Nord Crépy;76.6;3.3
2014-06;Transilien;N;Paris Montparnasse;94.7;17.9
2014-05;RER;D;RER D;85.9;6.1
2014-01;Transilien;R;Paris Sud Est;89.7;8.7
2014-06;Transilien;P;Paris Est;89.4;8.4
2014-05;Transilien;L;Paris Saint-Lazare Sud;88.8;7.9
2014-02;RER;D;RER D;88.2;7.5
2014-07;Transilien;L;Paris Saint-Lazare Sud;85.5;5.9
2014-05;Transilien;N;Paris Montparnasse;96.1;24.6
2014-02;RER;E;RER E;95.0;19.0
2014-08;RER;A;RER A;81.2;4.3
2014-05;Transilien;U;La Verrière - La Défense;94.0;15.7
2014-02;Transilien;J;Paris Saint-Lazare Nord;85.4;5.8
2014-08;RER;D;RER D;92.0;11.5
2014-06;Transilien;R;Paris Sud Est;86.1;6.2
2014-02;Transilien;N;Paris Montparnasse;95.1;19.4
2014-08;Transilien;H;Paris Nord Ouest;95.5;21.2
2014-06;Transilien;U;La Verrière - La Défense;95.5;21.2
2014-03;Transilien;J;Paris Saint-Lazare Nord;87.1;6.8
2014-08;Transilien;N;Paris Montparnasse;94.0;15.7
2014-07;Transilien;P;Paris Est;88.1;7.4
2014-03;Transilien;N;Paris Montparnasse;95.4;20.7
2014-09;Transilien;L;Paris Saint-Lazare Sud;85.7;6.0
2014-08;RER;B;RER B;90.7;9.8
2014-04;RER;D;RER D;88.5;7.7
2014-09;Transilien;U;La Verrière - La Défense;95.9;23.4
2013-01;RER;C;RER C;91.9;11.3
2014-08;Transilien;J;Paris Saint-Lazare Nord;87.4;6.9
2014-04;Transilien;L;Paris Saint-Lazare Sud;86.7;6.5
2014-10;RER;A;RER A;68.8;2.2
2013-01;Transilien;J;Paris Saint-Lazare Nord;82.5;4.7
2014-08;Transilien;L;Paris Saint-Lazare Sud;92.0;11.5
2014-04;Transilien;N;Paris Montparnasse;95.8;22.8
2014-10;Transilien;K;Paris Nord Crépy;86.5;6.4
2013-01;Transilien;N;Paris Montparnasse;94.7;17.9
2014-09;RER;A;RER A;70.9;2.4
2014-05;RER;A;RER A;87.6;7.1
2014-10;Transilien;N;Paris Montparnasse;91.0;10.1
2013-01;Transilien;R;Paris Sud Est;87.2;6.8
2014-09;Transilien;P;Paris Est;93.5;14.4
2014-05;RER;B;RER B;89.4;8.4
2014-10;Transilien;P;Paris Est;90.7;9.8
2013-01;Transilien;U;La Verrière - La Défense;92.3;12.0
2014-09;Transilien;R;Paris Sud Est;88.9;8.0
2014-06;RER;B;RER B;;0.0
2014-11;Transilien;R;Paris Sud Est;84.876;5.6
2013-02;RER;A;RER A;86.2;6.2
2014-11;RER;A;RER A;69.8;2.3
2014-06;RER;E;RER E;95.4;20.7
2014-12;RER;B;RER B;84.6;5.5
2013-02;RER;D;RER D;79.3;3.8
2014-11;Transilien;P;Paris Est;87.28;6.9
2014-06;Transilien;H;Paris Nord Ouest;93.9;15.4
2014-12;RER;C;RER C;89.3;8.3
2013-02;Transilien;P;Paris Est;89.4;8.4
2014-12;Transilien;L;Paris Saint-Lazare Sud;80.4;4.1
2014-07;RER;B;RER B;86.9;6.6
2014-12;RER;D;RER D;84.2;5.3
2013-02;Transilien;U;La Verrière - La Défense;91.7;11.0
2015-01;RER;C;RER C;91.403;10.6
2014-07;RER;E;RER E;92.5;12.3
2014-12;Transilien;J;Paris Saint-Lazare Nord;84.3;5.4
2013-03;RER;B;RER B;82.7;4.8
2015-02;RER;B;RER B;85.397;5.8
2014-07;Transilien;H;Paris Nord Ouest;93.1;13.5
2014-12;Transilien;N;Paris Montparnasse;94.0;15.7
2013-03;Transilien;K;Paris Nord Crépy;77.3;3.4
2015-02;RER;C;RER C;91.609;10.9
2014-07;Transilien;U;La Verrière - La Défense;93.3;13.9
2014-12;Transilien;P;Paris Est;88.7;7.8
2013-03;Transilien;P;Paris Est;89.0;8.1
2015-02;RER;D;RER D;87.642;7.1
2014-08;Transilien;P;Paris Est;92.6;12.5
2015-01;Transilien;H;Paris Nord Ouest;95.565;21.5
2013-04;RER;C;RER C;88.7;7.8
2015-02;RER;E;RER E;94.074;15.9
2014-08;Transilien;R;Paris Sud Est;93.2;13.7
2015-01;Transilien;N;Paris Montparnasse;93.886;15.4
2013-04;RER;E;RER E;96.2;25.3
2015-02;Transilien;H;Paris Nord Ouest;94.178;16.2
2014-08;Transilien;U;La Verrière - La Défense;95.4;20.7
2015-01;Transilien;R;Paris Sud Est;89.231;8.3
2013-04;Transilien;P;Paris Est;92.7;12.7
2015-03;RER;B;RER B;89.854;8.9
2014-09;RER;B;RER B;87.4;6.9
2015-03;RER;C;RER C;88.916;8.0
2013-05;RER;B;RER B;84.0;5.3
2015-03;Transilien;P;Paris Est;93.254;13.8
2014-09;RER;C;RER C;92.9;13.1
2015-03;Transilien;H;Paris Nord Ouest;96.064;24.4
2013-05;Transilien;H;Paris Nord Ouest;95.9;23.4
2015-03;Transilien;R;Paris Sud Est;90.349;9.4
2014-09;RER;D;RER D;87.0;6.7
2015-04;RER;C;RER C;89.282;8.3
2013-05;Transilien;R;Paris Sud Est;93.0;13.3
2015-04;RER;D;RER D;86.555;6.4
2014-09;RER;E;RER E;96.0;24.0
2015-04;RER;E;RER E;90.539;9.6
2013-06;RER;C;RER C;90.3;9.3
2015-05;Transilien;J;Paris Saint-Lazare Nord;90.925;10.0
2014-09;Transilien;J;Paris Saint-Lazare Nord;84.6;5.5
2015-05;RER;A;RER A;71.217;2.5
2013-07;RER;A;RER A;83.2;5.0
2015-05;Transilien;K;Paris Nord Crépy;91.384;10.6
2014-09;Transilien;N;Paris Montparnasse;91.6;10.9
2015-05;RER;B;RER B;86.995;6.7
2013-07;RER;C;RER C;90.8;9.9
2015-05;Transilien;R;Paris Sud Est;85.632;6.0
2014-10;RER;B;RER B;85.5;5.9
2015-05;Transilien;H;Paris Nord Ouest;95.938;23.6
2013-07;RER;E;RER E;94.0;15.7
2015-05;Transilien;U;La Verrière - La Défense;94.944;18.8
2014-10;RER;C;RER C;84.1;5.3
2015-06;RER;A;RER A;71.15;2.5
2013-07;Transilien;H;Paris Nord Ouest;94.4;16.9
2015-06;Transilien;N;Paris Montparnasse;87.838;7.2
2014-10;RER;D;RER D;81.4;4.4
2015-06;RER;C;RER C;86.173;6.2
2013-08;RER;E;RER E;95.4;20.7
2015-07;RER;C;RER C;88.3;7.5
2014-10;Transilien;R;Paris Sud Est;77.9;3.5
2015-06;RER;D;RER D;82.81;4.8
2013-08;Transilien;K;Paris Nord Crépy;88.3;7.5
2015-07;RER;E;RER E;93.5;14.4
2014-10;Transilien;U;La Verrière - La Défense;93.6;14.6
2015-06;RER;E;RER E;93.059;13.4
2013-08;Transilien;P;Paris Est;92.1;11.7
2015-07;Transilien;N;Paris Montparnasse;90.6;9.6
2014-11;RER;B;RER B;86.1;6.2
2015-06;Transilien;H;Paris Nord Ouest;92.322;12.0
2013-08;Transilien;U;La Verrière - La Défense;95.3;20.3
2015-07;Transilien;U;La Verrière - La Défense;92.3;12.0
2014-12;RER;A;RER A;67.3;2.1
2015-06;Transilien;K;Paris Nord Crépy;90.043;9.0
2013-09;RER;B;RER B;86.6;6.5
2015-08;Transilien;L;Paris Saint-Lazare Sud;89.9;8.9
2014-12;Transilien;U;La Verrière - La Défense;91.8;11.2
2015-06;Transilien;R;Paris Sud Est;85.187;5.8
2013-09;RER;C;RER C;93.1;13.5
2015-08;Transilien;N;Paris Montparnasse;96.3;26.0
2015-01;Transilien;P;Paris Est;90.949;10.0
2015-07;Transilien;H;Paris Nord Ouest;92.8;12.9
2013-09;Transilien;N;Paris Montparnasse;92.7;12.7
2015-09;RER;D;RER D;87.083;6.7
2015-01;Transilien;U;La Verrière - La Défense;94.673;17.8
2015-07;Transilien;L;Paris Saint-Lazare Sud;78.5;3.7
2013-09;Transilien;U;La Verrière - La Défense;92.9;13.1
2015-09;RER;E;RER E;89.903;8.9
2015-02;RER;A;RER A;73.095;2.7
2015-08;RER;B;RER B;92.918;13.1
2013-10;RER;E;RER E;95.2;19.8
2015-09;Transilien;J;Paris Saint-Lazare Nord;85.144;5.7
2015-02;Transilien;J;Paris Saint-Lazare Nord;85.058;5.7
2015-08;Transilien;K;Paris Nord Crépy;87.6;7.1
2013-10;Transilien;P;Paris Est;87.3;6.9
2015-09;Transilien;L;Paris Saint-Lazare Sud;84.187;5.3
2015-02;Transilien;L;Paris Saint-Lazare Sud;81.819;4.5
2015-08;Transilien;R;Paris Sud Est;91.2;10.4
2013-11;RER;A;RER A;80.9;4.2
2015-10;RER;B;RER B;89.983;9.0
2015-02;Transilien;P;Paris Est;92.771;12.8
2015-09;RER;B;RER B;89.361;8.4
2013-11;Transilien;H;Paris Nord Ouest;93.1;13.5
2015-10;RER;D;RER D;84.198;5.3
2015-03;Transilien;K;Paris Nord Crépy;88.119;7.4
2015-09;Transilien;K;Paris Nord Crépy;87.9;7.3
2013-11;Transilien;K;Paris Nord Crépy;77.7;3.5
2015-10;RER;E;RER E;94.987;18.9
2015-03;Transilien;L;Paris Saint-Lazare Sud;82.902;4.8
2015-10;RER;A;RER A;65.83;1.9
2013-11;Transilien;L;Paris Saint-Lazare Sud;77.8;3.5
2015-10;Transilien;N;Paris Montparnasse;87.447;7.0
2015-03;Transilien;N;Paris Montparnasse;94.754;18.1
2015-10;Transilien;P;Paris Est;90.725;9.8
2013-11;Transilien;P;Paris Est;82.8;4.8
2015-11;Transilien;P;Paris Est;87.9;7.3
2015-04;RER;A;RER A;71.977;2.6
2015-11;RER;A;RER A;67.1;2.0
2013-12;RER;C;RER C;90.9;10.0
2015-12;RER;A;RER A;70.158;2.4
2015-04;Transilien;N;Paris Montparnasse;93.906;15.4
2015-11;Transilien;J;Paris Saint-Lazare Nord;88.3;7.5
2013-12;Transilien;L;Paris Saint-Lazare Sud;83.0;4.9
2015-12;RER;C;RER C;90.3;9.3
2015-05;RER;E;RER E;95.987;23.9
2015-11;Transilien;K;Paris Nord Crépy;85.0;5.7
2014-01;RER;C;RER C;91.4;10.6
2016-01;RER;C;RER C;89.9;8.9
2015-06;RER;B;RER B;84.971;5.7
2015-11;Transilien;N;Paris Montparnasse;88.5;7.7
2014-01;RER;E;RER E;93.6;14.6
2016-01;Transilien;H;Paris Nord Ouest;95.7;22.3
2015-06;Transilien;L;Paris Saint-Lazare Sud;82.635;4.8
2015-12;Transilien;J;Paris Saint-Lazare Nord;89.7;8.7
2014-01;Transilien;L;Paris Saint-Lazare Sud;82.3;4.6
2016-02;RER;E;RER E;93.1;13.5
2015-07;RER;B;RER B;90.9;10.0
2015-12;Transilien;L;Paris Saint-Lazare Sud;88.1;7.4
2014-01;Transilien;N;Paris Montparnasse;96.1;24.6
2016-02;Transilien;H;Paris Nord Ouest;95.1;19.4
2015-07;Transilien;P;Paris Est;90.1;9.1
2015-12;Transilien;R;Paris Sud Est;86.9;6.6
2014-02;RER;A;RER A;85.7;6.0
2016-02;Transilien;K;Paris Nord Crépy;85.5;5.9
2015-08;RER;D;RER D;91.5;10.8
2016-01;Transilien;J;Paris Saint-Lazare Nord;91.6;10.9
2014-02;RER;C;RER C;90.8;9.9
2016-02;Transilien;P;Paris Est;88.1;7.4
2015-08;Transilien;H;Paris Nord Ouest;96.3;26.0
2016-02;RER;A;RER A;71.7;2.5
2014-03;RER;D;RER D;87.9;7.3
2016-03;RER;B;RER B;89.5;8.5
2015-08;Transilien;J;Paris Saint-Lazare Nord;90.0;9.0
2016-02;RER;C;RER C;88.5;7.7
2014-03;RER;E;RER E;94.4;16.9
2016-03;RER;D;RER D;84.3;5.4
2015-09;RER;A;RER A;69.995;2.3
2016-02;RER;D;RER D;86.7;6.5
2014-04;Transilien;U;La Verrière - La Défense;94.5;17.2
2016-03;Transilien;H;Paris Nord Ouest;92.7;12.7
2015-09;Transilien;P;Paris Est;86.054;6.2
2016-03;RER;C;RER C;88.3;7.5
2014-05;RER;E;RER E;93.3;13.9
2016-04;RER;C;RER C;90.6;9.6
2015-09;Transilien;R;Paris Sud Est;89.617;8.6
2016-03;Transilien;P;Paris Est;89.2;8.3
2014-05;Transilien;K;Paris Nord Crépy;91.9;11.3
2016-05;RER;B;RER B;86.0;6.1
2015-09;Transilien;U;La Verrière - La Défense;92.786;12.9
2016-03;Transilien;U;La Verrière - La Défense;93.5;14.4
2014-06;RER;D;RER D;85.2;5.8
2016-05;Transilien;H;Paris Nord Ouest;96.1;24.6
2015-10;RER;C;RER C;88.034;7.4
2016-04;Transilien;H;Paris Nord Ouest;96.4;26.8
2014-07;RER;A;RER A;70.5;2.4
2016-05;Transilien;J;Paris Saint-Lazare Nord;87.7;7.1
2015-10;Transilien;H;Paris Nord Ouest;93.511;14.4
2016-04;Transilien;U;La Verrière - La Défense;95.8;22.8
2014-07;RER;C;RER C;83.9;5.2
2016-07;RER;D;RER D;85.8;6.0
2015-10;Transilien;K;Paris Nord Crépy;90.205;9.2
2016-05;Transilien;R;Paris Sud Est;81.1;4.3
2014-07;RER;D;RER D;86.6;6.5
2016-07;RER;E;RER E;89.9;8.9
2015-10;Transilien;L;Paris Saint-Lazare Sud;82.69;4.8
2016-06;RER;A;RER A;70.7;2.4
2014-07;Transilien;J;Paris Saint-Lazare Nord;85.9;6.1
2016-07;Transilien;N;Paris Montparnasse;94.7;17.9
2015-11;RER;E;RER E;92.9;13.1
2016-06;RER;D;RER D;83.0;4.9
2014-07;Transilien;K;Paris Nord Crépy;87.6;7.1
2016-08;Transilien;J;Paris Saint-Lazare Nord;86.3;6.3
2015-11;Transilien;H;Paris Nord Ouest;94.3;16.5
2016-06;RER;E;RER E;93.0;13.3
2014-07;Transilien;N;Paris Montparnasse;94.2;16.2
2016-08;Transilien;K;Paris Nord Crépy;89.4;8.4
2015-11;Transilien;L;Paris Saint-Lazare Sud;80.6;4.2
2016-06;Transilien;R;Paris Sud Est;84.5;5.5
2014-08;RER;C;RER C;93.9;15.4
2016-09;Transilien;R;Paris Sud Est;87.4;6.9
